"filename", "language", "Python", "C++", "plantuml", "Markdown", "Properties", "Arduino", "YAML", "Ini", "comment", "blank", "total"
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/examples/FileWrite/FileWrite.ino", "Arduino", 0, 0, 0, 0, 0, 56, 0, 0, 13, 9, 78
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/examples/OptaDirList/OptaDirList.ino", "Arduino", 0, 0, 0, 0, 0, 100, 0, 0, 14, 19, 133
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/examples/PortentaOTA/PortentaOTA.ino", "Arduino", 0, 0, 0, 0, 0, 157, 0, 0, 20, 30, 207
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/library.properties", "Properties", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/Arduino_USBHostMbed5.h", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost/IUSBEnumerator.h", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 18, 7, 37
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost/USBDeviceConnected.cpp", "C++", 0, 95, 0, 0, 0, 0, 0, 0, 15, 15, 125
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost/USBDeviceConnected.h", "C++", 0, 88, 0, 0, 0, 0, 0, 0, 78, 22, 188
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost/USBEndpoint.cpp", "C++", 0, 124, 0, 0, 0, 0, 0, 0, 19, 24, 167
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost/USBEndpoint.h", "C++", 0, 98, 0, 0, 0, 0, 0, 0, 66, 31, 195
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost/USBHALHost.h", "C++", 0, 40, 0, 0, 0, 0, 0, 0, 104, 30, 174
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost/USBHost.cpp", "C++", 0, 1075, 0, 0, 0, 0, 0, 0, 96, 174, 1345
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost/USBHost.h", "C++", 0, 127, 0, 0, 0, 0, 0, 0, 223, 47, 397
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/src/USBHost/USBHostConf.h", "C++", 0, 35, 0, 0, 0, 0, 0, 0, 96, 29, 160
